scenario,processed_file,processed_sha256,source_tile,source_sha256,crs,resolution_x_m,resolution_y_m,width,height,min_elevation_m,max_elevation_m,relief_m,valid_fraction
S3,S3_Copernicus_GLO30_N38W080_UTM17N_30m.tif,5a985da12f75ed406e33b754131dd98f1234dcf80b0f39c59e6751193c70576c,Copernicus_DSM_COG_10_N38_00_W080_00_DEM.tif,cdeb227881eab36a37ae884554420c7fa7377e3ba4b5acb925b0b602ab98f220,EPSG:32617,30.0,30.0,191,244,431.0,1011.5333862304688,580.5333862304688,1.0
S4,S4_Copernicus_GLO30_N38W119_UTM11N_30m.tif,0af84fe776711dc14eeac12f345c8a8a2043bb254e9a171c585c669fc2c5ff79,Copernicus_DSM_COG_10_N38_00_W119_00_DEM.tif,141e26e2b83ad696ff9eeb10ee0ddcdc0b461668b48097d13c1c377751bdffda,EPSG:32611,30.0,30.0,189,243,1196.0,3427.58056640625,2231.58056640625,1.0
S5_S6,S5S6_Copernicus_GLO30_N46E083_UTM44N_30m.tif,2fb065653e194058d02a077320d758e9c476021d49c21e79f5912812b706cd00,Copernicus_DSM_COG_10_N46_00_E083_00_DEM.tif,3fedcbe1a4943fb5981b92ef327471c71c3395bafc533bc2df81895c4890fc57,EPSG:32644,30.0,30.0,160,241,1203.4215087890625,2635.834228515625,1432.4127197265625,1.0
